class name,Date ,Duration,start,end,minimum,maximum,people,room surface area ,room height,Windows,no of win,door ,no of door,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End
,datetime,minutes,datetime,datetime,,,,m^2,m,m^2,constant,m^2,constant,humidity-indoor,humidity-Indoor,humidity-out,humidity-out,Co2,Co2,Temp-in,Temp-in,Temp-out,Temp-out,wind speed,wind speed
Quint Elementary,3/8/2021,174,13.45,16.4,400,667,,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Quint Elementary,3/9/2021,335,10.15,15.5,400,823,,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
Third year,12/9/2020,92,13.2,14.52,400,855,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,12/10/2020,203,10.5,14.13,400,756,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,12/11/2020,229,11.17,15.06,400,1166,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,12/14/2020,48,13.12,14,400,627,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,12/15/2020,82,13.18,14.1,400,902,11,,,3,3,2.5,2,,,,,,,,,,,,
Third year,12/16/2020,210,11.3,15,400,1406,11,,,3,3,2.5,2,,,,,,,,,,,,
Third year,12/17/2020,160,12.12,14.52,400,1079,11,,,3,3,2.5,2,,,,,,,,,,,,
Third year,12/18/2020,228,11.3,15.18,400,846,11,,,3,3,2.5,2,,,,,,,,,,,,
Third year,12/21/2020,243,11.45,15.48,400,1061,9,,,3,3,2.5,2,,,,,,,,,,,,
Third year,12/22/2020,205,13.45,17.1,400,1279,10,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/7/2021,342,13.48,19.3,400,1071,11,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/8/2021,119,13.3,15.29,400,1096,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/11/2021,145,13.05,15.3,400,947,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/12/2021,419,9.22,14.21,400,801,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/13/2021,126,12.14,14.2,400,726,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/14/2021,80,13.15,14.25,400,901,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/15/2021,408,13.31,19.2,400,1247,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/18/2021,189,11.58,13.07,400,1608,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/19/2021,418,13.3,20.28,400,1465,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/20/2021,260,12,16.2,400,1340,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/21/2021,65,13.35,14.4,400,868,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/22/2021,323,11.37,17,400,851,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/25/2021,165,11.15,14.3,400,814,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/26/2021,194,11.02,14.16,400,930,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/27/2021,390,12,18.3,400,1651,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/28/2021,140,13.25,15.45,400,1623,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,1/29/2021,387,10.48,17.15,400,1099,12,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/1/2021,36,13.4,14.16,400,742,11,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/2/2021,94,13.14,14.45,400,1196,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/3/2021,105,19,20.45,400,1506,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/4/2021,183,13.42,16.45,400,1229,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/5/2021,488,11.04,17.12,400,1384,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/8/2021,100,13.18,14.58,400,1395,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/9/2021,254,9.36,13.5,400,683,14,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/10/2021,139,11.47,14.06,400,893,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/11/2021,67,13.13,14.2,400,731,13,,,3,3,2.5,2,,,,,,,,,,,,
Third year,2/12/2021,300,12.45,17.45,400,996,14,,,3,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/9/2020,274,12.56,17.3,400,1253,18,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/10/2020,383,12.43,17.06,400,1339,18,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/11/2020,352,11.45,17.57,400,1872,17,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/14/2020,296,12.54,17.5,400,1476,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/15/2020,270,13.4,18.18,400,1688,20,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/16/2020,208,12.52,16.2,400,2172,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/17/2020,234,13.23,17.17,400,2018,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/18/2020,255,13.45,18,400,2353,20,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/21/2020,240,12.54,16.53,400,2058,18,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,12/22/2020,370,11.5,18,400,2150,20,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/7/2021,210,13.4,17.1,400,2058,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/8/2021,194,13.46,17,400,1774,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/11/2021,294,11.56,16.5,400,1842,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/12/2021,250,12,16.1,400,1238,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/13/2021,363,10.44,16.47,400,1211,191,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/14/2021,225,13.45,17.3,400,1624,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/15/2021,150,13.46,16.1,400,2353,19,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/18/2021,268,13.07,17.35,400,1581,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/19/2021,227,13.43,17.3,400,2819,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/20/2021,300,11.5,16.5,400,1959,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/21/2021,250,13.5,18,400,2356,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/22/2021,330,10,15.3,400,1725,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/25/2021,190,12.5,14,400,1532,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/26/2021,348,10,15.48,400,1614,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/27/2021,275,13.25,18,400,2108,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/28/2021,199,13.41,17,400,1951,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,1/29/2021,184,13.48,16.52,400,1438,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/1/2021,130,12.5,15,400,1861,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/2/2021,80,13.4,15,400,2652,22,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/3/2021,85,13.35,15,400,1949,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/4/2021,120,13.3,13.3,400,1886,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/5/2021,158,11.4,14.18,400,1646,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/8/2021,240,11.3,15.3,400,1545,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/9/2021,91,13.19,14.5,400,1763,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/10/2021,80,12.5,14,400,1378,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/11/2021,176,11.5,14.46,400,1704,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/12/2021,105,12.1,13.55,400,1093,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/17/2021,310,11,16.4,400,2556,24,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/18/2021,118,13.42,15.4,400,3239,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/19/2021,180,13.4,16.4,400,1575,23,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/22/2021,67,12.53,14,400,1264,,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/23/2021,111,13.39,15.3,400,1571,,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
fourth elementary,2/26/2021,187,11.1,14.17,400,1763,,72.7,3.5,4,3,2.5,2,,,,,,,,,,,,
second elementray,12/9/2020,323,12.5,18.13,400,1580,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,12/10/2020,285,12.4,17.25,400,1587,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,12/11/2020,456,9.54,17.3,400,1426,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,12/14/2020,338,13.32,19.1,400,1076,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,12/15/2020,310,9.4,15.1,400,1239,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,12/16/2020,234,12.16,16.1,400,1929,14,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,12/17/2020,187,11.2,14.27,400,1508,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,12/18/2020,216,11.34,15.1,400,1512,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,12/21/2020,293,11.44,16.37,400,1436,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,12/22/2020,302,13.45,18.47,400,2170,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/7/2021,280,9.45,14.25,400,1237,14,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/8/2021,43,11.52,19.25,400,1625,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/11/2021,255,13,17.15,400,1585,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/12/2021,190,11.5,15,400,1331,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
